1 - Code=069960, Full Code=KR7069960003, Company=현대백화점
1 - Code=003020, Full Code=KR7003020005, Company=남양(폐지)
1 - Code=015760, Full Code=KR7015760002, Company=한국전력
1 - Code=011022, Full Code=KR7011020021, Company=코오롱유2(폐지)
1 - Code=011020, Full Code=KR7011020005, Company=코오롱유화(폐지)
1 - Code=011021, Full Code=KR7011020013, Company=코오롱유1(폐지)
1 - Code=153130, Full Code=KR7153130000, Company=KODEX 단기채권
1 - Code=004870, Full Code=KR7004870002, Company=티웨이홀딩스
1 - Code=088790, Full Code=KR7088790001, Company=진도
1 - Code=009790, Full Code=KR7009790007, Company=휴닉스(폐지)
1 - Code=247790, Full Code=KR7247790009, Company=KODEX 성장투자
1 - Code=261270, Full Code=KR7261270003, Company=KODEX 미국달러선물인버스
1 - Code=003330, Full Code=KR7003330008, Company=하나증권(폐지)
1 - Code=003335, Full Code=KR7003331006, Company=하나증권우(폐지)
1 - Code=008705, Full Code=KR7008701005, Company=아남전자우(폐지)
1 - Code=139220, Full Code=KR7139220008, Company=TIGER 200 건설
1 - Code=000076, Full Code=KR7000071019, Company=삼양사우1신(폐지)
1 - Code=081940, Full Code=KR7081940009, Company=아시아9호(폐지)
